seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
0015a82c2db000af6aaaf3ae2ecb0532,SP,3,3,1,2685.0,74,1
001cca7ae9ae17fb1caed9dfb1094831,ES,171,207,9,21275.230000000007,2,0
002100f778ceb8431b7a1020ff7ab48f,SP,38,42,15,781.7999999999994,2,0
003554e2dce176b5555353e4f3555ac8,GO,1,1,1,120.0,16,1
004c9cd9d87a3c30c522c48c4fc07416,SP,130,141,75,16228.879999999977,8,0
00ab3eff1b5192e5f1a63bcecfee11c8,SP,1,1,1,98.0,288,1
00ee68308b45bc5e2660cd833c3f81cc,SP,40,49,12,4641.0,2,0
010543a62bd80aa422851e79a3bc7540,SP,2,2,1,1416.0,151,1
013900e863eace745d3ec7614cab5b1a,PR,10,13,10,768.6999999999999,9,0
014c0679dd340a0e338872e7ec85666a,MG,7,7,4,2572.0,17,0
014d9a685fd57276679edd00e07089e5,PR,1,1,1,69.99,38,0
0176f73cc1195f367f7b32db1e5b3aa8,SP,3,3,2,559.7,30,0
01bcc9d254a0143f0ce9791b960b2a47,GO,8,8,2,1105.96,74,0
01c97ebb5cdac52891c0ed1c37ba0012,SP,5,6,1,176.4,54,0
01cf7e3d21494c41fb86034f2e714fa1,PR,53,59,21,8323.759999999997,139,0
01ed254b9ff8407dfb9d99ba1e17d923,SP,5,5,2,1465.99,53,1
01fdefa7697d26ad920e9e0346d4bd1b,PR,65,66,13,7976.069999999991,10,0
0241d4d5d36f10f80c644447315af0bd,PR,24,26,12,1474.7000000000003,13,0
0249d282d911d23cb8b869ab49c99f53,SP,10,10,4,371.0,38,0
024b564ae893ce8e9bfa02c10a401ece,SP,1,2,1,239.0,322,1
028872bfa080090a9d0abd4f1af168f8,MG,1,3,1,70.5,134,1
02c988090b766852e088c69d7fb3b551,SP,5,9,5,550.0699999999999,34,0
02d35243ea2e497335cd0f076b45675d,RN,12,14,2,5246.0,13,0
02ecc2a19303f05e59ce133fd923fff7,SP,9,11,8,2360.3,4,0
02f5837340d7eb4f653d676c7256523a,PR,11,11,1,1487.2400000000002,16,0
0307f7565ff85b299b6e5ef162b1b1a9,SP,5,5,5,4695.0,220,1
04308b1ee57b6625f47df1d56f00eedf,SC,7,7,5,8305.3,11,0
0432ead42b6c8a0bdf68154add917fdf,SP,73,78,50,6851.299999999992,1,0
048c2757535328e0d7dac690ad3c0aae,SP,24,24,12,4366.799999999998,1,0
04aa0a1c5ce6b222003403a3e11c3cc0,SP,10,16,7,5409.0,93,0
04aba03279157f6d4e0fe8ccaf21963c,RJ,9,9,7,1454.0,11,0
04e38a233f726ef161074ab1c9b0399a,SP,12,15,7,571.4999999999998,36,0
04fdea0c111866e6cf812f1570d6b5bd,SP,4,4,2,485.0,15,0
0509040ea3fe50071181bbc359eb7738,MG,54,60,22,2209.2500000000005,1,0
052577151711aec5c744fe12e66db3e1,SC,1,1,1,687.0,66,1
054694fa03fe82cec4b7551487331d74,SP,16,17,11,6681.0,75,0
056b4ada5bbc2c50cc7842547dda6b51,RJ,4,4,4,995.98,5,0
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,3,3,3,276.0,86,0
058fd0aa2bfdb2274e05e1ae971dabb6,SP,35,36,7,4421.5,11,0
05a940b4ecae36cadfd8e93bd9c43257,GO,7,7,6,399.29999999999995,4,0
05d2173d43ea568aa0540eba70d2ca76,MG,12,12,10,1065.6799999999998,11,0
05f51e13da97139648b8125c31e5f51b,MG,54,56,18,11989.619999999986,33,0
05feb94f19d094d4b0f9281f0b1d4c99,SP,4,4,2,5977.0,4,0
05ff92fedb5be47920fea08e501238b9,RS,38,41,15,13264.539999999999,3,0
062ce95fa2ad4dfaedfc79260130565f,RS,54,59,14,7479.099999999991,112,1
06532f10282704ef4c69168b914b77be,PR,7,8,7,9827.95,134,1
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,31,31,8,2265.9000000000015,16,0
066a6914e1ebf3ea95a216c73a986b91,PR,41,43,30,6690.2099999999955,21,0
0691148aee60ca47977c187804f935ae,PR,5,5,5,239.63,11,0
